city,acres,sale_price
Fresno,40,210000
Fresno,20,660000
Fresno,35.33,1000000
Fresno,20,75000
Fresno,103.62,590000
Fresno,77.12,490000
Fresno,25.8,210000
Fresno,75.74,450000
Fresno,58.49,6398353
Fresno,39.1,295000
Fresno,20.27,550000
Fresno,20.28,685000
Fresno,44.67,2233500
Fresno,49.08,2548000
Fresno,25,474500
Fresno,46.77,1403500
Fresno,57.75,330000
Fresno,32.98,748000
Fresno,20,90000
Fresno,40,1175000
Fresno,20,400000
Fresno,38.19,1458000
Fresno,20,52000
Fresno,20,600000
Fresno,28.49,775000
Fresno,39.66,260000
Fresno,45,1200000
Fresno,20,90000
Fresno,20.07,625000
Fresno,82.44,2244500
Fresno,39.6,250000
Merced,30.4,513500
Merced,36.8,90000
Merced,26.5,1750000
Merced,77.68,936000
Merced,36.7,789000
Merced,79.7,438000
Merced,23.63,533000
Merced,62.68,365000
Merced,29.6,710500
Merced,57,280000
Merced,35.9,359000
Merced,35,490000
Merced,98,1500000
Merced,37,750000
Merced,77,516000
Merced,36,800000
Merced,27,325000
Merced,49.1,589500
Merced,39,175500
Merced,20,871500
Merced,66.1,495000
Merced,32,282000
Merced,28,520000
Merced,23,1656000
Merced,20,55000
Merced,103.6,622000
Merced,50,200000
Merced,37,318500
Merced,45.73,725000
Merced,60,500000
Merced,80,256000
Merced,101.6,1800000
Merced,72.7,210000
Merced,48.6,400000
Merced,25.3,545000
Merced,28.2,555000
Merced,32.4,1500000
Merced,39.7,6900000
